Date,AED,CNH,EUR,JPY(100),USD
2024-01-31,360.36090909090905,184.40818181818182,1444.1204545454545,906.7049999999999,1323.5681818181818
2024-02-29,362.57842105263154,184.82315789473682,1437.5236842105264,891.0768421052632,1331.7368421052631
2024-03-31,362.3235,184.476,1447.2694999999999,889.122,1330.6950000000002
2024-04-30,372.4414285714286,188.52190476190475,1466.767619047619,889.9704761904762,1367.8285714285714
2024-05-31,371.73850000000004,188.537,1476.2445,875.875,1365.3899999999999
2024-06-30,375.7494736842105,189.79736842105262,1485.5731578947368,874.3210526315788,1380.1315789473683
2024-07-31,376.634347826087,189.91304347826087,1499.6804347826087,875.3026086956521,1383.3826086956522
2024-08-31,368.67904761904765,189.07476190476189,1491.4752380952382,925.9923809523809,1354.147619047619
2024-09-30,363.4166666666667,188.53166666666667,1481.5966666666668,929.2488888888888,1334.8166666666666
2024-10-31,370.5385,191.632,1481.354,906.771,1361.0
2024-11-30,379.3561904761905,193.2695238095238,1482.9319047619047,907.1557142857143,1393.3761904761905
2024-12-31,390.53,196.9309523809524,1502.6319047619047,934.2461904761903,1434.4238095238095
2025-01-31,396.3544444444444,198.70833333333334,1504.1144444444444,927.9722222222222,1455.7944444444445
2025-02-28,393.5665,198.432,1505.435,952.5905,1445.56
2025-03-31,396.677,200.786,1575.906,977.7715000000001,1456.9450000000002
2025-04-30,393.2209090909091,197.6959090909091,1617.7127272727273,999.9604545454546,1444.3136363636365
2025-05-31,379.66315789473686,193.37473684210525,1571.45,962.278947368421,1394.4894736842105
2025-06-30,372.2026315789474,190.29894736842104,1574.5647368421053,944.9368421052632,1366.9473684210527
2025-07-31,374.4452173913043,191.78826086956522,1607.9473913043478,936.9747826086956,1375.2217391304348
2025-08-31,378.321875,193.370625,1616.48,940.795,1389.4625
